Subject ID,Dyad ID,thisRow.t,thisN,stimuli,resp_key.keys,category,trials.resp_key.rt,trials.resp_key.keys,resp_key.rt,notes,frameRate,video_phase.stopped,video_phase.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.resp_key.duration,thisTrialN,thisRepN,resp_phase.stopped,resp_phase.started,resp_key.duration,psychopyVersion,intro.stopped,intro.started,fixation_phase.stopped,fixation_phase.started,expVersion,expStart,expName,date,Participant #,
,,,,,,,,,,,None,,,,,,,,,,,,,2025.2.0,7.937219249986811,0.0060670179955195636,,,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,8.397786723988247,0,../stimuli/TENNIS-A.AVI,left,nonsocial,1.920130547005101,left,1.920130547005101,,None,27.937749405988143,8.382306568993954,0,0,0,9,None,0,0,29.94550048999372,28.011235107987886,None,2025.2.0,,,34.953721375000896,29.945580308994977,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,35.037770596987684,1,../stimuli/STAR-A.AVI,right,nonsocial,1.3500051650044043,right,1.3500051650044043,,None,54.1518677349959,35.03014677799365,1,0,1,7,None,1,0,56.292397494995384,54.23653518198989,None,2025.2.0,,,61.284669545988436,56.29245391099539,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,61.377548737989855,2,../stimuli/BILLIARD-A.AVI,right,nonsocial,1.531936321000103,right,1.531936321000103,,None,80.95500621599786,61.36995144399407,2,0,2,1,None,2,0,82.82253973999468,81.03648346599948,None,2025.2.0,,,87.81455785800063,82.82258691098832,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,87.89336269498745,3,../stimuli/RANDOM MECHANICAL.AVI,right,nonsocial,1.7776966209930833,right,1.7776966209930833,,None,107.82873253599973,87.88702032298897,3,0,3,4,None,3,0,109.68640103600046,107.89946623399737,None,2025.2.0,,,114.67843877300038,109.68644554099592,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,114.75458570900082,4,../stimuli/FISHING.AVI,right,nonsocial,2.06024957500631,right,2.06024957500631,,None,134.69249561299512,114.74848325298808,4,0,4,3,None,4,0,136.84419212999637,134.76824658999976,None,2025.2.0,,,141.84232019599585,136.844248606998,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,141.9222961179912,5,../stimuli/SCARING.AVI,left,social,1.5146807419951074,left,1.5146807419951074,,None,161.8461815999908,141.91606519899506,5,0,5,5,None,5,0,163.44710647799366,161.9209550589876,None,2025.2.0,,,168.43920041198726,163.44718285299314,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,168.5241187119973,6,../stimuli/COAXING-B.AVI,left,social,5.016190256996197,left,5.016190256996197,,None,188.45283989798918,168.518440971995,6,0,6,0,None,6,0,193.55952070499188,188.53275923398905,None,2025.2.0,,,198.55489614099497,193.55957722799212,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,198.635622693997,7,../stimuli/DRIFTING-A.AVI,right,nonsocial,1.7027223920013057,right,1.7027223920013057,,None,218.0838322089985,198.6282843999943,7,0,7,2,None,7,0,220.26768535299925,218.16215005099366,None,2025.2.0,,,225.26644679899618,220.26774208300048,,2025-10-02 15h28.57.188500 -0400,social-animation,2025-10-02_15h28.56.948,1,
,,225.3477083799953,8,../stimuli/SEDUCING-B.AVI,,social,,,,,,,225.33916169298755,8,0,8,6,,8,0,,,,,,,,,,,,,,
